id_num,name,year,author,tasks,topics,keywords,types,annotations,size,num_cat,description,url,thumbnail,paper,citations,conferences,institutions,
10,BU-Action 101 ,2015,"S. Ma, S. A. Bargal, J. Zhang, L. Sigal, S. Sclaroff",classification,action,,images,category labels,23800,101,"The dataset consists of ~23.8K action images that correspond to the 101 action classes in the UCF101 video dataset. The action categories are divided into five types: Human-Object Interaction, Body-Motion Only, Human-Human Interaction, Playing Musical Instruments, Sports. For each action class, we automatically download images from the Web (Google, Flickr, etc.) using corresponding key phrases, e.g. pushup training for the class pushup, and then manually remove irrelevant images or drawings and cartoons. We also include 2769 images of relevant actions from the Standford40 dataset. Each class has at least 100 images and most classes have 150-300 images. ",http://cs-people.bu.edu/sbargal/BU-action/,http://cs-people.bu.edu/sbargal/BU-action/images/sample_images_small.png,Do Less and Achieve More: Training CNNs for Action Recognition Utilizing Action Images from the Web.,"Ma, S., Bargal, S. A., Zhang, J., Sigal, L., & Sclaroff, S. (2017). Do less and achieve more: Training cnns for action recognition utilizing action images from the web. Pattern Recognition, 68, 334-345.",,Boston University,
11,BU-Action 101 (unfiltered) ,2016,"S. Ma, S. A. Bargal, J. Zhang, L. Sigal, S. Sclaroff",classification,action,,images,category labels,204000,101,"This is a crawled dataset of web action images. It consists of ~204K images, with an average number of 2017 images per class. It is in one-to-one correspondence with the classes of the UCF101 video action dataset. The action categories are divided into five types: Human-Object Interaction, Body-Motion Only, Human-Human Interaction, Playing Musical Instruments, Sports. These crawled images are not manually labeled; we refer to them as unfiltered images. For each action class, we automatically download images from the Web (Google, Flickr, etc.) using corresponding key phrases, e.g. pushup training for the class pushup.",http://cs-people.bu.edu/sbargal/BU-action/,http://cs-people.bu.edu/sbargal/BU-action/images/sample_images_small.png,Do Less and Achieve More: Training CNNs for Action Recognition Utilizing Action Images from the Web.,"Ma, S., Bargal, S. A., Zhang, J., Sigal, L., & Sclaroff, S. (2017). Do less and achieve more: Training cnns for action recognition utilizing action images from the web. Pattern Recognition, 68, 334-345.",,Boston University,
12,BU-Action 203 ,2017,"S. Ma, S. A. Bargal, J. Zhang, L. Sigal, S. Sclaroff",classification,action,,images,category labels,387000,203,"This is a crawled dataset of web action images. It consists of ?387K images, with an average number of 1909 images per class. It is in one-to-one correspondence with the classes of the ActivityNet video action dataset. The action categories are divided into these main types: Personal Care, Working, Eating and Drinking, Socializing and Leisure, Household, Sports and Excercises, Caring and Helping. These crawled images are not manually labeled; we refer to them as unfiltered images. For each action class, we automatically download images from the Web (Google, Flickr, etc.) using corresponding key phrases, e.g. pushup training for the class pushup. ",http://cs-people.bu.edu/sbargal/BU-action/,http://cs-people.bu.edu/sbargal/BU-action/images/sample_images_small.png,Do Less and Achieve More: Training CNNs for Action Recognition Utilizing Action Images from the Web.,"Ma, S., Bargal, S. A., Zhang, J., Sigal, L., & Sclaroff, S. (2017). Do less and achieve more: Training cnns for action recognition utilizing action images from the web. Pattern Recognition, 68, 334-345.",,Boston University,
13,Berkeley MHAD: A Comprehensive Multimodal Human Action Database ,2013,"F. Ofli, R. Chaudhry, G. Kurillo, R. Vidal and R. Bajcsy",classification,action,,video;audio;sensor recordings;depth images,category labels;skeleton annotations,660,11,"The Berkeley Multimodal Human Action Database (MHAD) contains 11 actions performed by 7 male and 5 female subjects in the range 23-30 years of age except for one elderly subject. All the subjects performed 5 repetitions of each action, yielding about 660 action sequences which correspond to about 82 minutes of total recording time. In addition, we have recorded a T-pose for each subject which can be used for the skeleton extraction; and the background data (with and without the chair used in some of the activities).",http://tele-immersion.citris-uc.org/berkeley_mhad,http://tele-immersion.citris-uc.org/sites/default/files/action_samples_surface_800.jpg, Berkeley MHAD: A Comprehensive Multimodal Human Action Database,"F. Ofli, R. Chaudhry, G. Kurillo, R. Vidal and R. Bajcsy. Berkeley MHAD: A Comprehensive Multimodal Human Action Database. In Proceedings of the IEEE Workshop on Applications on Computer Vision (WACV), 2013.",WACV,"University of California, Berkeley;Johns Hopkins University",
14,Breakfast dataset ,2014,"H. Kuehne, A. B. Arslan and T. Serre",classification,action,food,video;video frames,temporal category labels,4000000,10,"This dataset comprises of 10 actions related to breakfast preparation, performed by 52 different individuals in 18 different kitchens.",http://serre-lab.clps.brown.edu/resource/breakfast-actions-dataset/,http://serre-lab.clps.brown.edu/wp-content/uploads/2012/04/example_breakfast_data-300x197.jpg,The Language of Actions: Recovering the Syntax and Semantics of Goal-Directed Human Activities,"H. Kuehne, A. B. Arslan and T. Serre. The Language of Actions: Recovering the Syntax and Semantics of Goal-Directed Human Activities. CVPR, 2014.;H. Kuehne, J. Gall and T. Serre. An end-to-end generative framework for video segmentation and recognition. WACV, 2016.",CVPR;WACV,Fraunhofer FKIE;Brown University,
15,Bristol Egocentric Object Interactions Dataset ,2014,"Dima Damen, Teesid Leelasawassuk, Osian Haines, Michael Wray, Davide Moltisanti, Andrew Calway, Walterio Mayol-Cuevas",gaze estimation,action,,video,gaze fixation annotations,58,6,Contains videos shot from a first-person (egocentric) point of view of 3-5 users performing tasks in six different locations.,https://data.bris.ac.uk/data/dataset/o4hx7jnmfqt01lyzf2n4rchg6,,"You-Do, I-Learn: Discovering Task Relevant Objects and their Modes of Interaction from Multi-User Egocentric Video","Damen, D., Leelasawassuk, T., Haines, O., Calway, A., & Mayol-Cuevas, W. W. (2014, September). You-Do, I-Learn: Discovering Task Relevant Objects and their Modes of Interaction from Multi-User Egocentric Video. In BMVC (Vol. 2, p. 3).",BMVC;ECCV,University of Bristol,
16,CAD-120 dataset ,2013,"Hema S Koppula, Rudhir Gupta, Ashutosh Saxena",detection,action,,RGB-D video;images;depth images,3D bounding boxes,60,32,The CAD-60 and CAD-120 data sets comprise of RGB-D video sequences of humans performing activities which are recording using the Microsoft Kinect sensor.,http://pr.cs.cornell.edu/humanactivities/,http://pr.cs.cornell.edu/humanactivities/images/all_activity_pic_combined.jpg,Learning human activities and object affordances from rgb-d videos,"Koppula, H. S., Gupta, R., & Saxena, A. (2013). Learning human activities and object affordances from rgb-d videos. The International Journal of Robotics Research, 32(8), 951-970.",,Cornell University,
17,CAD-60 dataset,2011,"Jaeyong Sung, Colin Ponce, Bart Selman, Ashutosh Saxena",detection,action,,RGB-D video;images;depth images,3D bounding boxes,120,12,The CAD-60 and CAD-120 data sets comprise of RGB-D video sequences of humans performing activities which are recording using the Microsoft Kinect sensor.,http://pr.cs.cornell.edu/humanactivities/,http://pr.cs.cornell.edu/humanactivities/images/all_activity_pic_combined.jpg,Unstructured human activity detection from rgbd images,"Sung, J., Ponce, C., Selman, B., & Saxena, A. (2012, May). Unstructured human activity detection from rgbd images. In Robotics and Automation (ICRA), 2012 IEEE International Conference on (pp. 842-849). IEEE.",ICRA,Cornell University,
18,Charades Dataset ,2017,"Sigurdsson, G. A., Varol, G., Wang, X., Farhadi, A., Laptev, I., & Gupta, A. ",detection;classification,action,,video,textual descriptions;category labels,9848,203,"The Charades Activity Challenge aims towards automatic understanding of daily activities, by providing realistic videos of people doing everyday activities. The Charades dataset is collected for an unique insight into daily tasks such as drinking coffee, putting on shoes while sitting in a chair, or snuggling with a blanket on the couch while watching something on a laptop. This enables computer vision algorithms to learn from real and diverse examples of our daily dynamic scenarios.  Instead
of shooting videos in the lab, we ensure diversity by distributing
and crowdsourcing the whole process of video creation from script writing
to video recording and annotation. Following this procedure we collect a
new dataset, Charades, with hundreds of people recording videos in their
own homes, acting out casual everyday activities. The dataset is composed
of 9,848 annotated videos with an average length of 30 seconds,
showing activities of 267 people from three continents, and over 15%
of the videos have more than one person. Each video is annotated by
multiple free-text descriptions, action labels, action intervals and classes
of interacted objects. In total, Charades provides 27,847 video descriptions,
66,500 temporally localized intervals for 157 action classes and
41,104 labels for 46 object classes",http://allenai.org/plato/charades/,,Hollywood in homes: Crowdsourcing data collection for activity understandin,"Sigurdsson, G. A., Varol, G., Wang, X., Farhadi, A., Laptev, I., & Gupta, A. (2016, October). Hollywood in homes: Crowdsourcing data collection for activity understanding. In European Conference on Computer Vision (pp. 510-526). Springer, Cham.",EECV;CVPR,Carnegie Mellon University;Inria;University of Washington;The Allen Institute of AI,
19,Composable Activities,2014,"Ivan Lillo, Alvaro Soto, Juan Carlos Niebles",classification,action,,RGB-D video,temporal category labels,693,16,"New dataset composed of 693 videos that contain activities in 16 classes performed by 14 actors. Each activity is composed of 3 to 11 atomic actions. We capture RGB-D data for each sequence using a Microsoft Kinect sensor and estimate position of relevant body joints.

We provide annotations of the activity for each video and the actions for each of the four human parts (left/right arm and leg) for each frame in every video.",http://ialillo.sitios.ing.uc.cl/ActionsCVPR2014/,http://ialillo.sitios.ing.uc.cl/ActionsCVPR2014/images/fig01.jpg,Discriminative hierarchical modeling of spatio-temporally composable human activities,"Lillo, I., Soto, A., & Carlos Niebles, J. (2014). Discriminative hierarchical modeling of spatio-temporally composable human activities. In Proceedings of the IEEE conference on computer vision and pattern recognition (pp. 812-819).",CVPR,P. Universidad Catolica de Chile;Universidad del Norte. Colombia,
20,Depth-included Human Action (DHA) ,2012,"an-Ching Lin, Min-Chun Hu, Wen-Huang Cheng, Yung-Huan Hsieh, and Hong-Ming Chen",classification,action,,images;depth images,category labels,483,23,"DHA is containing 23 action categories: (1) bend, (2) jack, (3) jump, (4) pjump, (5) run, (6) side, (7) skip, (8) walk, (9) one-hand-wave, (10) two-hand-wave, (11) front-clap, (12) side-clap, (13) arm-swing, (14) arm-curl, (15) leg-kick, (16) leg-curl, (17) rod-swing, (18) golf-swing, (19) front-box, (20) side-box, (21) tai-chi, (22) pitch, (23) kick. The first 10 categories follow the same definitions in the Weizmann action dataset and the 11th to 16th actions are extended categories. The 17th to 23rd are the categories of selected sport actions.",http://mclab.citi.sinica.edu.tw/dataset/dha/dha.html,http://mclab.citi.sinica.edu.tw/dataset/dha/pic/RGB.jpg,Human action recognition and retrieval using sole depth information,"Lin, Y. C., Hu, M. C., Cheng, W. H., Hsieh, Y. H., & Chen, H. M. (2012, October). Human action recognition and retrieval using sole depth information. In Proceedings of the 20th ACM international conference on Multimedia (pp. 1053-1056). ACM.",MM,Academia Sinica,
21,DogCentric Activity Dataset,2014,"Y. Iwashita, A. Takamine, R. Kurazume, and M. S. Ryoo",classification,action;animal,dog,video,category labels,209,10,"We attached a GoPro camera to the back of each of the four dogs, and their owners took them on a walk to their familiar walking routes. The walking routes are in various environments, such as residential area, a park along a river, a sand beach, a field, streets with traffic, etc. Thus even though different dogs do the same activity, their background varies. 

The video contains various activities, and we chose 10 activities of interest as our target activities. 'playing with a ball', 'waiting for a car to passed by', 'drinking water', 'feeding', 'turning dog's head to the left', 'turning dog's head to the right', 'petting', 'shaking dog's body by himself', 'sniffing', and 'walking' are the activities of importance we chose to recognize. The videos are in 320*240 image resolution, 48 frames per second. ",http://robotics.ait.kyushu-u.ac.jp/~yumi/db/first_dog.html,http://robotics.ait.kyushu-u.ac.jp/~yumi/db/images/set2.png,Person Animal Activity Recognition from Egocentric Videos,"Takamine, Y. I. A., Kurazume, R., & Ryoo, M. S. (2014). First-Person Animal Activity Recognition from Egocentric Videos. ICPR.[Jain, van Gemert, and Snoek 2014] Jain, M.",ICPR,Kyushu University;California Institute of Technology,
22,FCVID: Fudan-Columbia Video Dataset ,2015,"Yu-Gang Jiang, Zuxuan Wu, Jun Wang, Xiangyang Xue, Shih-Fu Chang",classification,action;event;object;scenes,,video,category labels,91223,239,"In this project, we construct and release a new dataset called Fudan-Columbia Video Dataset (FCVID), containing 91,223 Web videos annotated manually according to 239 categories. ",http://bigvid.fudan.edu.cn/FCVID/,,Exploiting feature and class relationships in video categorization with regularized deep neural networks,"Jiang, Y. G., Wu, Z., Wang, J., Xue, X., & Chang, S. F. (2018). Exploiting feature and class relationships in video categorization with regularized deep neural networks. IEEE transactions on pattern analysis and machine intelligence, 40(2), 352-364.",,"Fudan University;Institute of Data Science and Technology, Columbia University",
23,G3D ,2016,"V. Bloom, V. Argyriou and D. Makris",classification,action,gaming,images;depth images,category labels;skeleton annotations,,20,"G3D dataset contains a range of gaming actions captured with Microsoft Kinect. The Kinect enabled us to record synchronised video, depth and skeleton data. The dataset contains 10 subjects performing 20 gaming actions: punch right, punch left, kick right, kick left, defend, golf swing, tennis swing forehand, tennis swing backhand, tennis serve, throw bowling ball, aim and fire gun, walk, run, jump, climb, crouch, steer a car, wave, flap and clap.",http://dipersec.king.ac.uk/G3D/G3Di.html,http://dipersec.king.ac.uk/G3D/images/Boxing4_7&8.gif,Hierarchical transfer learning for online recognition of compound actions,"Bloom, V., Argyriou, V., & Makris, D. (2016). Hierarchical transfer learning for online recognition of compound actions. Computer Vision and Image Understanding, 144, 62-72.",,Kingston University,
24,G3Di ,2017,"V. Bloom, V. Argyriou and D. Makris",classification,action,gaming,images;depth images,category labels;skeleton annotations,,,"G3Di is a realistic and challenging human interaction dataset for multiplayer gaming, containing synchronised colour, depth and skeleton data. The dataset was captured using a novel gamesourcing approach where the users were recorded whilst playing computer games.

This dataset contains 12 people split into 6 pairs. Each pair interacted through a gaming interface showcasing six sports: boxing, volleyball, football, table tennis, sprint and hurdles. The interactions can be collaborative or competitive depending on the specific sport and game mode. In this dataset volleyball was played collaboratively and the other sports in competitive mode. In most sports the interactions were explicit and can be decomposed by an action and counter action but in the sprint and hurdles the interactions were implicit, as the players competed with each other for the fastest time.

",http://dipersec.king.ac.uk/G3D/G3Di.html,http://dipersec.king.ac.uk/G3D/images/Boxing4_7&8.gif,Hierarchical transfer learning for online recognition of compound actions,"Bloom, V., Argyriou, V., & Makris, D. (2016). Hierarchical transfer learning for online recognition of compound actions. Computer Vision and Image Understanding, 144, 62-72.",,Kingston University,
25,Georgia Tech Egocentric Activities - Gaze(+),2012,"Alireza Fathi, Yin Li, James M. Rehg",classification,action;gaze,,video;audio,temporal category labels;gaze fixation annotations,17,,We have collected these datasets using recently commercially available eye-tracking systems that record a high-quality video of where people look at and at the same time record their gaze location in every frame of the video.,http://ai.stanford.edu/~alireza/GTEA_Gaze_Website/GTEA_Gaze+.html,https://youtu.be/NSKLaRXorf4,,"Fathi, A., Li, Y., & Rehg, J. M. (2012, October). Learning to recognize daily actions using gaze. In European Conference on Computer Vision (pp. 314-327). Springer, Berlin, Heidelberg.",ECCV,Georgia Institute of Technology,
26,HMDB: A Large Human Motion Database,2011,"Kuehne, H., Jhuang, H., Garrote, E., Poggio, T., & Serre, T. ",classification,action,,video,category labels,7000,51,"Here we introduce HMDB collected from various sources, mostly from movies, and a small proportion from public databases such as the Prelinger archive, YouTube and Google videos. The dataset contains 6849 clips divided into 51 action categories, each containing a minimum of 101 clips.",http://serre-lab.clps.brown.edu/resource/hmdb-a-large-human-motion-database/,http://serre-lab.clps.brown.edu/wp-content/uploads/2012/08/HMDB_snapshot1-300x225.png,HMDB: A Large Video Database for Human Motion Recognition,"H. Kuehne, H. Jhuang, E. Garrote, T. Poggio, and T. Serre. HMDB: A Large Video Database for Human Motion Recognition. ICCV, 2011",ICCV,Brown University,
27,Hollywood 3D dataset,2013,"Hadfield, S. and Bowden, R",classification;recognition,action,movies,video,category labels,650,14,"This paper presents a new dataset, for benchmarking action recognition algorithms in natural environments, while making use of 3D information. The dataset contains around 650 video clips, across 14 classes",http://cvssp.org/Hollywood3D/,,Hollywood 3D: Recognizing actions in 3D natural scenes,"Hadfield, S., & Bowden, R. (2013, June). Hollywood 3D: Recognizing actions in 3D natural scenes. In Computer Vision and Pattern Recognition (CVPR), 2013 IEEE Conference on(pp. 3398-3405). IEEE.",CVPR,University of Surrey,
28,Hollywood Extended ,2014,"Bojanowski, P., Lajugie, R., Bach, F., Laptev, I., Ponce, J., Schmid, C., & Sivic, J.",classification;pose estimation,action,movies,video,category labels,937,16,Dataset of 937 video clips with a total of 787720 frames containing sequences of 16 different actions from 69 Hollywood movies.,http://www.di.ens.fr/willow/research/actionordering/,http://www.di.ens.fr/willow/research/actionordering/images/teaser.png,Weakly supervised action labeling in videos under ordering constraints,"Bojanowski, P., Lajugie, R., Bach, F., Laptev, I., Ponce, J., Schmid, C., & Sivic, J. (2014, September). Weakly supervised action labeling in videos under ordering constraints. In European Conference on Computer Vision (pp. 628-643). Springer, Cham.",EECV,INRIA;Ecole Normale Superieure,
29,JHMDB: Joint-annotated Human Motion Data Base,2013,H. Jhuang and J. Gall and S. Zuffi and C. Schmid and M. J. Black,classification;pose estimation,action,,video,category labels;joint positions/pose annotations;masks,31838,21,"The HMDB51 database contains more than 5,100
clips of 51 different human actions collected from movies
or the Internet. Annotating this entire dataset is impractical
so J-HMDB is a subset with fewer categories. We
excluded categories that contain mainly facial expressions
like smiling, interactions with others such as shaking hands,
and actions that can only be done in a specific way such as
a cartwheel. The result contains 21 categories involving a
single person in action: brush hair, catch, clap, climb stairs,
golf, jump, kick ball, pick, pour, pull-up, push, run, shoot
ball, shoot bow, shoot gun, sit, stand, swing baseball, throw,
walk, wave. In summary, there are
31,838 annotated frames in total.",http://jhmdb.is.tue.mpg.de/,https://youtu.be/BoQlEo8tPy0,Towards understanding action recognition,"Jhuang, H., Gall, J., Zuffi, S., Schmid, C., & Black, M. J. (2013, December). Towards understanding action recognition. In Computer Vision (ICCV), 2013 IEEE International Conference on (pp. 3192-3199). IEEE.",ICCV,MPI for Intelligent Systems;University of Bonn;Brown University;INRIA,
30,K3Da - Kinect 3D Active dataset,2015,"Leightley, D., Yap, M. H., Coulson, J., Barnouin, Y., & McPhee, J. S.",recognition,action,,depth images;skeleton images,joint positions/pose annotations,225000,,"K3Da (Kinect 3D active) is a realistic clinically relevant human action dataset containing skeleton, depth data and associated participant information. With associated marker indicating noisy/outlier frames.",https://filestore.leightley.com/k3da/,https://filestore.leightley.com/k3da/img/kinectDatasetVis.png,Benchmarking human motion analysis using kinect one: An open source dataset,"Leightley, D., Yap, M. H., Coulson, J., Barnouin, Y., & McPhee, J. S. (2015, December). Benchmarking human motion analysis using kinect one: An open source dataset. In Signal and Information Processing Association Annual Summit and Conference (APSIPA), 2015 Asia-Pacific (pp. 1-7). IEEE.",APSIPA 2015,Manchester Metropolitan University,
31,Kinetics Human Action Video Dataset ,2017,"Will Kay, Joao Carreira,  Karen Simonyan, Brian Zhang, Chloe Hillier, Sudheendra Vijayanarasimhan, Fabio Viola, Tim Green, Trevor Back, Paul Natsev, Mustafa Suleyman, Andrew Zisserman",classification,action,,video,category labels,300000,400,"The dataset consists of approximately 300,000 video clips, and covers 400 human action classes with at least 400 video clips for each action class. Each clip lasts around 10s and is labeled with a single class. All of the clips have been through multiple rounds of human annotation, and each is taken from a unique YouTube video. The actions cover a broad range of classes including human-object interactions such as playing instruments, as well as human-human interactions such as shaking hands and hugging.",https://deepmind.com/research/open-source/open-source-datasets/kinetics/,https://youtu.be/0wR5jVB-WPk,The kinetics human action video dataset,"Kay, W., Carreira, J., Simonyan, K., Zhang, B., Hillier, C., Vijayanarasimhan, S., ... & Suleyman, M. (2017). The kinetics human action video dataset. arXiv preprint arXiv:1705.06950.",,Google Deep Mind,
32,KIT Robo-Kitchen Activity Data Set ,2011,"Lukas Rybok, Simon Friedberger, Uwe D. Hanebeck, and Rainer Stiefelhagen",classification,action,,video,category labels;textual descriptions,540,12,"This Robo-kitchen data set consists of 14 typical kitchen activities recorded in two different stereo-camera setups, and each performed by 17 subjects.",,,,,,Karlsruhe Institute of Technology,
